"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Desminado militar en operaciones";"SANTANDER";68;"EL CARMEN";68235;1992;7;"Incidente";"Sin informacion";"Rural";6.703536;-73.509679;"";"POINT (-73.509679 6.703536)";"1992-07-01";33786
"Desminado militar en operaciones";"CAUCA";19;"SUÁREZ";19780;2015;6;"Incidente";"Sin informacion";"Rural";2.939444444;-76.75305556;"Vereda La Alejandria";"POINT (-76.75305556 2.939444444)";"2015-06-01";42156
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"TIBÚ";54810;2016;2;"Incidente";"Sin informacion";"Rural";8.61;-72.88944444;"ESLABONES";"POINT (-72.88944444 8.61)";"2016-02-01";42401
"Desminado militar en operaciones";"META";50;"MESETAS";50330;2016;4;"Incidente";"Sin informacion";"Rural";2.857222222;-74.17666667;"PORVENIR";"POINT (-74.17666667 2.857222222)";"2016-04-01";42461
"Desminado militar en operaciones";"TOLIMA";73;"PLANADAS";73555;2012;2;"Incidente";"Sin informacion";"Rural";3.018056;-75.788611;"Vereda Peña Rica";"POINT (-75.788611 3.018056)";"2012-02-01";40940
"Desminado militar en operaciones";"META";50;"MESETAS";50330;2016;4;"Incidente";"Sin informacion";"Rural";2.803333333;-74.13083333;"BAJO PORVENIR";"POINT (-74.13083333 2.803333333)";"2016-04-01";42461
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2015;5;"Incidente";"Sin informacion";"Rural";7.01;-71.44805556;"Vereda Peralonso";"POINT (-71.44805556 7.01)";"2015-05-01";42125
"Desminado militar en operaciones";"META";50;"VISTAHERMOSA";50711;2009;4;"Incidente";"Sin informacion";"Rural";2.745;-73.399167;"El Caño Negro";"POINT (-73.399167 2.745)";"2009-04-01";39904
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2017;2;"Incidente";"Sin informacion";"Rural";6.673888889;-71.06638889;"CAÑO SECO";"POINT (-71.06638889 6.673888889)";"2017-02-01";42767
"Desminado militar en operaciones";"META";50;"PUERTO LLERAS";50577;2007;4;"Incidente";"Sin informacion";"Rural";3.1175;-73.402778;"";"POINT (-73.402778 3.1175)";"2007-04-01";39173
"Desminado militar en operaciones";"META";50;"SAN JUAN DE ARAMA";50683;2014;10;"Incidente";"Sin informacion";"Rural";3.359444444;-73.97722222;"La Lajosa";"POINT (-73.97722222 3.359444444)";"2014-10-01";41913
